Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
5.763028196,41330.44252,1.751463065,10.62935461,0.16477605,,,,,,,,41330.44252,5.763028196
5.79254385,41568.11852,1.756571547,10.63508877,0.165167549,,,,,,,,41568.11852,5.79254385
5.815892927,41665.37002,1.76059433,10.63742561,0.165509438,,,,,,,,41665.37002,5.815892927
5.842271841,41866.78802,1.765119735,10.64224814,0.165859667,,,,,,,,41866.78802,5.842271841
5.870616768,42254.43552,1.7699597,10.65146461,0.166170547,,,,,,,,42254.43552,5.870616768
5.893790305,42426.29152,1.773899306,10.65552353,0.166476973,,,,,,,,42426.29152,5.893790305
5.913520823,42468.78052,1.777241394,10.65652451,0.166774955,,,,,,,,42468.78052,5.913520823
5.937567469,42562.58102,1.781299532,10.65873077,0.167121168,,,,,,,,42562.58102,5.937567469
5.961677962,42574.93752,1.785351979,10.65902104,0.167496806,,,,,,,,42574.93752,5.961677962
5.989967447,42631.13502,1.790085978,10.66034013,0.167920156,,,,,,,,42631.13502,5.989967447
6.029364636,42793.95302,1.796641638,10.66415209,0.16847487,,,,,,,,42793.95302,6.029364636
6.05242396,43121.69252,1.800458846,10.67178146,0.168712117,,,,,,,,43121.69252,6.05242396
6.078941132,43193.89002,1.804830525,10.67345433,0.169095259,,,,,,,,43193.89002,6.078941132
6.104955404,43450.99152,1.809100803,10.67938895,0.169401153,,,,,,,,43450.99152,6.104955404
6.138026054,43656.07952,1.814503201,10.68409783,0.16983214,,,,,,,,43656.07952,6.138026054
6.165609239,43761.88853,1.818986954,10.68651859,0.17021324,,,,,,,,43761.88853,6.165609239
6.192862647,43872.72353,1.823397443,10.68904807,0.170585578,,,,,,,,43872.72353,6.192862647
6.224162957,43933.73103,1.828438969,10.69043766,0.171034997,,,,,,,,43933.73103,6.224162957
6.247343335,44006.80603,1.832156307,10.69209958,0.171356083,,,,,,,,44006.80603,6.247343335
6.276860193,44051.05353,1.836869886,10.69310455,0.171780784,,,,,,,,44051.05353,6.276860193
6.306501055,44162.64553,1.841581015,10.69563459,0.172180622,,,,,,,,44162.64553,6.306501055
6.331432026,44240.79253,1.845526439,10.69740255,0.172520986,,,,,,,,44240.79253,6.331432026
6.35620613,44307.61353,1.849431679,10.6989118,0.172861662,,,,,,,,44307.61353,6.35620613
6.386911799,44358.28803,1.854250865,10.70005485,0.173293585,,,,,,,,44358.28803,6.386911799
6.411178246,44503.59953,1.858043068,10.70332535,0.173594935,,,,,,,,44503.59953,6.411178246
6.431149258,44543.40703,1.861153256,10.70421943,0.173870992,,,,,,,,44543.40703,6.431149258
6.45780338,44645.72653,1.865289226,10.70651387,0.174220035,,,,,,,,44645.72653,6.45780338
6.479632152,44742.73553,1.868663742,10.70868438,0.174499843,,,,,,,,44742.73553,6.479632152
6.501401972,44930.48203,1.872017842,10.71287173,0.174744727,,,,,,,,44930.48203,6.501401972
