ABS Energy,Category
242156.014,Original_data
242171.014,Original_data
242171.014,Original_data
242183.414,Original_data
242184.494,Original_data
242187.034,Original_data
242190.284,Original_data
242190.284,Original_data
242212.284,Original_data
242228.284,Original_data
242287.384,Original_data
242287.384,Original_data
242299.384,Original_data
242366.084,Original_data
242367.634,Original_data
242379.734,Original_data
242387.624,Original_data
242387.624,Original_data
242388.954,Original_data
242973.954,Original_data
242974.952,Original_data
242974.952,Original_data
242976.072,Original_data
243002.072,Original_data
244822.072,Original_data
244895.572,Original_data
244895.572,Original_data
245014.572,Original_data
245015.852,Original_data
247485.852,Original_data
247521.352,Original_data
247530.142,Original_data
247649.142,Original_data
247878.142,Original_data
247879.222,Original_data
247961.822,Original_data
247961.822,Original_data
247964.402,Original_data
247964.402,Original_data
247968.892,Original_data
247981.292,Original_data
248096.292,Original_data
248097.842,Original_data
248159.242,Original_data
248255.242,Original_data
248256.24,Original_data
248256.24,Original_data
248310.54,Original_data
248311.66,Original_data
248330.86,Original_data
248336.94,Original_data
248343.36,Original_data
248353.76,Original_data
248354.77,Original_data
248354.77,Original_data
248354.77,Original_data
248423.97,Original_data
248425.09,Original_data
248425.09,Original_data
248433.79,Original_data
248481.09,Original_data
248496.79,Original_data
248496.79,Original_data
248496.79,Original_data
248628.79,Original_data
248631.19,Original_data
248639.28,Original_data
248717.88,Original_data
248746.58,Original_data
248755.65,Original_data
248755.65,Original_data
248755.65,Original_data
248755.65,Original_data
248766.85,Original_data
248766.85,Original_data
248798.65,Original_data
248799.71,Original_data
249298.71,Original_data
249306.38,Original_data
249517.38,Original_data
249654.38,Original_data
249655.5,Original_data
249655.5,Original_data
249741.9,Original_data
249749.04,Original_data
249812.94,Original_data
249814.41,Original_data
249815.408,Original_data
249819.108,Original_data
249819.108,Original_data
249847.108,Original_data
249960.108,Original_data
249960.108,Original_data
249960.108,Original_data
249970.038,Original_data
249971.048,Original_data
249972.448,Original_data
249986.248,Original_data
249997.548,Original_data
250008.048,Original_data
250008.048,Original_data
250029.948,Original_data
250029.948,Original_data
250029.948,Original_data
250029.948,Original_data
250029.948,Original_data
250055.248,Original_data
250058.528,Original_data
250058.528,Original_data
250067.268,Original_data
250068.458,Original_data
250069.578,Original_data
250069.578,Original_data
250112.178,Original_data
250222.178,Original_data
250453.178,Original_data
250453.178,Original_data
250471.978,Original_data
250473.258,Original_data
250495.158,Original_data
250653.158,Original_data
250654.628,Original_data
250657.998,Original_data
250666.558,Original_data
250666.558,Original_data
250667.838,Original_data
250669.098,Original_data
250670.358,Original_data
250672.978,Original_data
250873.978,Original_data
250887.578,Original_data
250904.078,Original_data
250911.738,Original_data
250926.038,Original_data
250965.738,Original_data
250969.578,Original_data
250978.028,Original_data
250978.028,Original_data
250978.028,Original_data
251158.028,Original_data
251169.028,Original_data
251170.648,Original_data
251215.448,Original_data
251268.648,Original_data
251272.368,Original_data
251278.238,Original_data
251283.538,Original_data
251478.538,Original_data
251716.538,Original_data
251752.838,Original_data
251752.838,Original_data
251753.898,Original_data
251771.598,Original_data
251771.598,Original_data
252680.598,Original_data
252685.648,Original_data
252773.648,Original_data
252808.348,Original_data
252808.348,Original_data
252827.148,Original_data
252827.148,Original_data
252925.348,Original_data
252973.048,Original_data
252974.108,Original_data
252997.708,Original_data
253032.408,Original_data
253108.208,Original_data
253120.808,Original_data
253125.758,Original_data
253837.758,Original_data
253970.758,Original_data
253972.228,Original_data
253972.228,Original_data
254034.528,Original_data
254061.728,Original_data
254222.728,Original_data
254281.328,Original_data
254414.328,Original_data
254424.048,Original_data
254688.048,Original_data
255153.048,Original_data
255153.048,Original_data
255169.148,Original_data
255169.148,Original_data
255300.148,Original_data
255319.048,Original_data
255320.046,Original_data
256018.046,Original_data
256018.046,Original_data
256063.646,Original_data
256155.846,Original_data
256155.846,Original_data
256200.846,Original_data
256202.106,Original_data
256205.876,Original_data
256234.576,Original_data
256234.576,Original_data
256240.176,Original_data
256240.176,Original_data
256241.506,Original_data
256353.506,Original_data
256464.506,Original_data
256574.506,Original_data
256574.506,Original_data
256629.306,Original_data
256665.706,Original_data
256665.706,Original_data
256781.706,Original_data
256781.706,Original_data
256783.106,Original_data
256807.706,Original_data
256807.706,Original_data
256808.826,Original_data
256814.676,Original_data
256814.676,Original_data
256853.676,Original_data
261093.676,Original_data
261096.216,Original_data
261113.316,Original_data
261114.736,Original_data
261116.356,Original_data
261123.896,Original_data
261123.896,Original_data
